DATE	VALUE	
11-6-2016	0.005737
12-6-2016	0.005766
13-6-2016	0.005852
14-6-2016	0.005828
15-6-2016	0.007093
16-6-2016	0.006889
17-6-2016	0.006681
18-6-2016	0.006693
19-6-2016	0.006585
20-6-2016	0.006818
21-6-2016	0.00663
22-6-2016	0.006179
23-6-2016	0.006519
24-6-2016	0.00638
25-6-2016	0.006427
26-6-2016	0.006409
27-6-2016	0.006402
28-6-2016	0.006407
29-6-2016	0.006775
30-6-2016	0.006778
1-7-2016	0.006651
2-7-2016	0.006788
3-7-2016	0.006714
4-7-2016	0.006621
5-7-2016	0.007029
6-7-2016	0.006716
7-7-2016	0.006689
8-7-2016	0.006609
9-7-2016	0.006717
10-7-2016	0.006672
11-7-2016	0.006671
12-7-2016	0.006534
13-7-2016	0.00635
14-7-2016	0.006408
15-7-2016	0.006388
16-7-2016	0.006442
17-7-2016	0.006571
18-7-2016	0.006538
19-7-2016	0.006479
20-7-2016	0.006404
21-7-2016	0.00639
22-7-2016	0.006417
23-7-2016	0.006303
24-7-2016	0.006328
25-7-2016	0.006293
26-7-2016	0.006246
27-7-2016	0.005996
28-7-2016	0.005973
29-7-2016	0.005974
30-7-2016	0.006112
31-7-2016	0.006118
1-8-2016	0.005942
2-8-2016	0.005911
3-8-2016	0.005688
4-8-2016	0.005646
5-8-2016	0.005821
6-8-2016	0.006448
7-8-2016	0.006337
8-8-2016	0.00616
9-8-2016	0.006027
10-8-2016	0.006147
11-8-2016	0.006196
12-8-2016	0.006188
13-8-2016	0.006119
14-8-2016	0.006092
15-8-2016	0.005993
16-8-2016	0.006045
17-8-2016	0.006144
18-8-2016	0.0061
19-8-2016	0.00612
20-8-2016	0.006126
21-8-2016	0.006116
22-8-2016	0.006055
23-8-2016	0.006002
24-8-2016	0.006015
25-8-2016	0.006049
26-8-2016	0.006083
27-8-2016	0.006018
28-8-2016	0.005974
29-8-2016	0.005961
30-8-2016	0.00612
31-8-2016	0.006036
1-9-2016	0.006013
2-9-2016	0.005979
3-9-2016	0.005967
4-9-2016	0.005964
5-9-2016	0.005948
6-9-2016	0.005933
7-9-2016	0.005915
8-9-2016	0.005892
9-9-2016	0.005901
10-9-2016	0.005872
11-9-2016	0.005866
12-9-2016	0.005844
13-9-2016	0.005899
14-9-2016	0.005888
15-9-2016	0.005969
16-9-2016	0.008286
17-9-2016	0.007391
18-9-2016	0.007017
19-9-2016	0.006855
20-9-2016	0.006865
21-9-2016	0.006809
22-9-2016	0.006833
23-9-2016	0.006848
24-9-2016	0.007234
25-9-2016	0.007356
26-9-2016	0.007872
27-9-2016	0.007959
28-9-2016	0.00822
29-9-2016	0.009065
30-9-2016	0.00891
1-10-2016	0.008839
2-10-2016	0.008197
3-10-2016	0.008165
4-10-2016	0.008115
5-10-2016	0.007873
6-10-2016	0.007429
7-10-2016	0.007377
8-10-2016	0.007371
9-10-2016	0.00731
10-10-2016	0.007542
11-10-2016	0.007993
12-10-2016	0.008208
13-10-2016	0.007951
14-10-2016	0.00798
15-10-2016	0.008769
16-10-2016	0.008137
17-10-2016	0.008079
18-10-2016	0.008032
19-10-2016	0.008348
20-10-2016	0.008636
21-10-2016	0.00909
22-10-2016	0.009027
23-10-2016	0.008977
24-10-2016	0.009432
25-10-2016	0.009065
26-10-2016	0.008884
27-10-2016	0.008833
28-10-2016	0.008483
29-10-2016	0.008157
30-10-2016	0.007738
31-10-2016	0.008014
1-11-2016	0.008197
2-11-2016	0.008104
3-11-2016	0.008221
4-11-2016	0.008015
5-11-2016	0.008157
6-11-2016	0.00823
7-11-2016	0.008197
8-11-2016	0.008111
9-11-2016	0.008205
10-11-2016	0.008081
11-11-2016	0.008131
12-11-2016	0.008061
13-11-2016	0.008039
14-11-2016	0.008255
15-11-2016	0.008099
16-11-2016	0.007888
17-11-2016	0.007851
18-11-2016	0.007722
19-11-2016	0.007778
20-11-2016	0.007799
21-11-2016	0.007649
22-11-2016	0.007567
23-11-2016	0.007434
24-11-2016	0.007062
25-11-2016	0.006948
26-11-2016	0.006895
27-11-2016	0.007385
28-11-2016	0.007082
29-11-2016	0.007009
30-11-2016	0.006779
1-12-2016	0.006723
2-12-2016	0.006707
3-12-2016	0.006712
4-12-2016	0.006592
5-12-2016	0.006525
6-12-2016	0.006435
7-12-2016	0.006653
8-12-2016	0.006849
9-12-2016	0.007091
10-12-2016	0.007138
11-12-2016	0.006816
12-12-2016	0.006744
13-12-2016	0.00678
14-12-2016	0.006704
15-12-2016	0.006699
16-12-2016	0.006662
17-12-2016	0.006704
18-12-2016	0.006541
19-12-2016	0.006582
20-12-2016	0.00654
21-12-2016	0.006498
22-12-2016	0.006452
23-12-2016	0.006362
24-12-2016	0.006275
25-12-2016	0.00635
26-12-2016	0.006443
27-12-2016	0.006326
28-12-2016	0.006193
29-12-2016	0.00618
30-12-2016	0.006352
31-12-2016	0.006417
1-1-2017	0.006523
2-1-2017	0.006386
3-1-2017	0.00629
4-1-2017	0.006385
5-1-2017	0.006572
6-1-2017	0.006197
7-1-2017	0.006351
8-1-2017	0.006383
9-1-2017	0.006239
10-1-2017	0.006157
11-1-2017	0.006708
12-1-2017	0.006417
13-1-2017	0.006434
14-1-2017	0.00661
15-1-2017	0.006867
16-1-2017	0.006747
17-1-2017	0.006772
18-1-2017	0.00679
19-1-2017	0.006713
20-1-2017	0.007032
21-1-2017	0.006694
22-1-2017	0.006706
23-1-2017	0.006718
24-1-2017	0.006708
25-1-2017	0.006527
26-1-2017	0.006511
27-1-2017	0.006686
28-1-2017	0.006409
29-1-2017	0.006356
30-1-2017	0.006402
31-1-2017	0.00639
1-2-2017	0.006311
2-2-2017	0.00654
3-2-2017	0.006466
4-2-2017	0.006487
5-2-2017	0.006494
6-2-2017	0.006439
7-2-2017	0.006437
8-2-2017	0.006407
9-2-2017	0.006433
10-2-2017	0.006367
11-2-2017	0.00629
12-2-2017	0.006328
13-2-2017	0.006267
14-2-2017	0.00624
15-2-2017	0.006279
16-2-2017	0.006138
17-2-2017	0.005939
18-2-2017	0.005949
19-2-2017	0.005589
20-2-2017	0.005879
21-2-2017	0.005871
22-2-2017	0.005849
23-2-2017	0.005856
